,Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Date_Year,Date_Month,VWAP,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
0,2017-05-15,TCS,EQ,2360.65,2375.1,2377.95,2341.6,2368.0,2365.1,2352.6,908802,2138043383.0,30047,712450,78.39,2017,5,2365.1,0.0,Slight or No change,,,,HODL,,,,
1,2017-05-16,TCS,EQ,2365.1,2380.0,2435.0,2373.45,2425.1,2429.15,2410.26,1800513,4339703206.25,58476,1167534,64.84,2017,5,2407.67,0.02708,Slight or No change,,,,HODL,,,,
2,2017-05-17,TCS,EQ,2429.15,2433.5,2460.75,2423.0,2450.0,2455.35,2443.31,1438099,3513728629.8,86412,1031752,71.74,2017,5,2424.2,0.010790000000000001,Slight or No change,,,,HODL,,,,
3,2017-05-18,TCS,EQ,2455.35,2450.0,2572.0,2442.25,2525.0,2536.2,2525.78,2569297,6489478324.85,111566,1135613,44.2,2017,5,2467.04,0.03293,Slight or No change,,,,HODL,,,,
4,2017-05-19,TCS,EQ,2536.2,2536.2,2540.55,2486.0,2503.85,2507.15,2506.58,893022,2238429862.6,63112,517461,57.94,2017,5,2471.75,-0.01145,Slight or No change,,,,HODL,,,,
5,2017-05-22,TCS,EQ,2507.15,2510.0,2553.75,2510.0,2535.0,2531.35,2530.69,831970,2105461143.45,53261,509741,61.27,2017,5,2477.62,0.00965,Slight or No change,,,,HODL,,,,
6,2017-05-23,TCS,EQ,2531.35,2533.2,2564.15,2514.0,2523.7,2521.7,2530.49,1374298,3477645339.05,88749,995551,72.44,2017,5,2483.79,-0.00381,Slight or No change,,,,HODL,,,,
7,2017-05-24,TCS,EQ,2521.7,2534.8,2570.0,2529.65,2567.1,2559.15,2545.01,1267274,3225227837.35,58716,918505,72.48,2017,5,2492.41,0.01485,Slight or No change,0.04153097775037297,,,HODL,,,,
8,2017-05-25,TCS,EQ,2559.15,2577.0,2637.55,2568.0,2615.05,2624.6,2605.4,2047047,5333377224.3,87147,1180439,57.67,2017,5,2513.02,0.02557,Slight or No change,0.04089118354545955,,,HODL,,,,
9,2017-05-26,TCS,EQ,2624.6,2625.0,2626.85,2564.65,2570.05,2578.25,2593.0,681275,1766542910.7,32170,390827,57.37,2017,5,2516.24,-0.01766,Slight or No change,0.050099189217278926,,,HODL,,,,
10,2017-05-29,TCS,EQ,2578.25,2579.0,2596.5,2564.0,2572.0,2572.85,2577.65,874645,2254524743.95,41767,635375,72.64,2017,5,2519.61,-0.00209,Slight or No change,0.04037689893249518,,,HODL,,,,
11,2017-05-30,TCS,EQ,2572.85,2560.0,2575.95,2525.0,2548.2,2551.1,2554.74,463817,1184932112.45,26766,246206,53.08,2017,5,2520.57,-0.00845,Slight or No change,0.03929433470492082,,,HODL,,,,
12,2017-05-31,TCS,EQ,2551.1,2533.0,2572.5,2528.0,2539.95,2546.6,2549.69,1251365,3190589291.1,103176,925467,73.96,2017,5,2522.56,-0.00176,Slight or No change,0.038548353632642064,,,HODL,,,,
13,2017-06-01,TCS,EQ,2546.6,2530.0,2564.0,2530.0,2553.0,2553.6,2552.85,540032,1378618493.35,38315,370004,68.52,2017,6,2523.55,0.00275,Slight or No change,0.03815934286631609,,,HODL,2523.7249999999995,66.94209251285785,2657.6091850257153,2389.8408149742836
14,2017-06-02,TCS,EQ,2553.6,2556.25,2591.85,2552.5,2560.0,2564.9,2568.84,677824,1741220234.05,43736,511928,75.53,2017,6,2525.14,0.00443,Slight or No change,0.035347335540865964,,,HODL,2537.996428571428,49.565983466819205,2637.1283955050667,2438.8644616377896
15,2017-06-05,TCS,EQ,2564.9,2565.0,2619.9,2560.15,2616.0,2603.95,2577.2,750094,1933140402.5,39041,490594,65.4,2017,6,2528.36,0.01522,Slight or No change,0.027358693456575007,,,HODL,2550.482142857142,41.378230095355896,2633.238603047854,2467.72568266643
16,2017-06-06,TCS,EQ,2603.95,2631.0,2708.95,2630.0,2705.0,2696.0,2693.18,2973360,8007780799.0,132494,1888281,63.51,2017,6,2551.71,0.03535,Slight or No change,0.038833370183215074,,,HODL,2567.6714285714284,48.23561847960416,2664.142665530637,2471.20019161222
17,2017-06-07,TCS,EQ,2696.0,2697.0,2700.0,2576.55,2613.95,2615.25,2624.95,2463888,6467588528.8,109104,1265805,51.37,2017,6,2558.29,-0.02995,Slight or No change,0.053311511010449904,,,HODL,2573.317857142857,48.89053159529327,2671.0989203334434,2475.5367939522707
18,2017-06-08,TCS,EQ,2615.25,2598.0,2604.95,2515.5,2520.0,2521.6,2543.44,1665357,4235730503.25,80468,678314,40.73,2017,6,2555.89,-0.03581,Slight or No change,0.0655006428011461,,,HODL,2574.3499999999995,47.519493975550155,2669.3889879511,2479.311012048899
19,2017-06-09,TCS,EQ,2521.6,2520.0,2547.4,2486.0,2518.6,2507.0,2513.28,1574017,3955950265.4,83931,599286,38.07,2017,6,2553.04,-0.00579,Slight or No change,0.06565054519452242,,,HODL,2572.610714285714,49.61389452784191,2671.838503341398,2473.38292523003
20,2017-06-12,TCS,EQ,2507.0,2497.0,2512.9,2470.4,2484.9,2487.2,2487.48,813253,2022948074.3,44849,306655,37.71,2017,6,2551.12,-0.0079,Slight or No change,0.06562071099194394,2539.430952380952,,HODL,2570.1464285714283,53.07329643008888,2676.293021431606,2463.9998357112504
21,2017-06-13,TCS,EQ,2487.2,2465.0,2481.1,2447.0,2450.0,2451.55,2464.89,587707,1448635342.35,52410,268108,45.62,2017,6,2549.06,-0.01433,Slight or No change,0.06566123638363376,2543.547619047619,,HODL,2562.460714285714,61.85297759940208,2686.166669484518,2438.75475908691
22,2017-06-14,TCS,EQ,2451.55,2455.0,2476.0,2455.0,2465.4,2470.2,2469.41,744571,1838650964.0,42987,456486,61.31,2017,6,2547.05,0.00761,Slight or No change,0.06315941709472069,2545.5023809523805,,HODL,2551.4321428571425,63.65968295174375,2678.75150876063,2424.112776953655
23,2017-06-15,TCS,EQ,2470.2,2469.0,2469.7,2405.0,2410.0,2411.2,2427.94,1498599,3638509043.15,65157,1140716,76.12,2017,6,2540.42,-0.023880000000000002,Slight or No change,0.04010538354308987,2543.399999999999,,HODL,2539.4999999999995,73.18880221202436,2685.877604424048,2393.122395575951
24,2017-06-16,TCS,EQ,2411.2,2414.95,2435.0,2386.5,2395.0,2399.7,2402.96,1225213,2944142144.4,72001,709697,57.92,2017,6,2535.02,-0.00477,Slight or No change,0.03750351970104397,2536.899999999999,,HODL,2527.1321428571423,81.30007712916905,2689.7322971154804,2364.531988598804
25,2017-06-19,TCS,EQ,2399.7,2416.9,2446.35,2405.15,2432.0,2431.7,2430.5,822371,1998776222.2,53034,493678,60.03,2017,6,2532.42,0.013340000000000001,Slight or No change,0.03325415815564794,2533.307142857142,,HODL,2518.603571428571,84.78055715126648,2688.164685731104,2349.042457126038
26,2017-06-20,TCS,EQ,2431.7,2431.0,2449.0,2380.3,2443.6,2445.0,2427.14,835479,2027828499.2,56385,443227,53.05,2017,6,2530.25,0.00547,Slight or No change,0.03485125152985773,2529.1952380952375,,HODL,2511.346428571428,86.53012695517762,2684.4066824817833,2338.286174661073
27,2017-06-21,TCS,EQ,2445.0,2440.0,2442.15,2397.2,2406.75,2406.3,2412.24,828909,1999530130.0,60134,488457,58.93,2017,6,2527.26,-0.01583,Slight or No change,0.0368639241108034,2523.6999999999994,,HODL,2500.825,89.88736488174884,2680.5997297634976,2321.050270236502
28,2017-06-22,TCS,EQ,2406.3,2409.0,2431.0,2385.0,2391.45,2394.85,2403.02,2887941,6939787421.1,51314,2442403,84.57,2017,6,2517.01,-0.00476,Slight or No change,0.03512577340013075,2515.87619047619,,HODL,2488.678571428571,92.02683286429559,2672.732237157162,2304.62490569998
29,2017-06-23,TCS,EQ,2394.85,2399.4,2413.95,2354.0,2359.8,2361.7,2388.78,712378,1701711236.3,52090,347676,48.8,2017,6,2514.09,-0.01384,Slight or No change,0.03391073588255179,2503.357142857142,,HODL,2471.3749999999995,91.45846419592297,2654.2919283918454,2288.4580716081537
30,2017-06-27,TCS,EQ,2361.7,2350.6,2384.7,2331.6,2348.0,2342.85,2357.33,987165,2327075044.5,61242,613618,62.16,2017,6,2509.76,-0.00798,Slight or No change,0.02740934534602942,2492.1476190476183,,HODL,2446.149999999999,71.19557840635436,2588.541156812708,2303.7588431872905
31,2017-06-28,TCS,EQ,2342.85,2349.9,2358.0,2335.0,2346.25,2350.05,2345.89,894863,2099251693.65,46724,653390,73.02,2017,6,2506.18,0.00307,Slight or No change,0.028278610153093853,2481.5380952380947,,HODL,2427.2071428571426,56.50819497118139,2540.2235327995054,2314.1907529147798
32,2017-06-29,TCS,EQ,2350.05,2359.0,2372.05,2323.1,2328.95,2333.25,2342.52,1235913,2895151088.6,41555,909603,73.6,2017,6,2500.98,-0.00715,Slight or No change,0.021017051442563207,2471.164285714285,,HODL,2413.753571428571,54.69864456303196,2523.150860554635,2304.3562823025068
33,2017-06-30,TCS,EQ,2333.25,2324.4,2377.0,2323.1,2361.0,2362.35,2361.01,876924,2070428287.85,45339,543014,61.92,2017,6,2498.08,0.01247,Slight or No change,0.025997202935636312,2462.3904761904755,2484.9632352941176,HODL,2403.4214285714284,49.10595183370796,2501.633332238844,2305.2095249040126
34,2017-07-03,TCS,EQ,2362.35,2357.4,2383.05,2343.1,2371.0,2373.6,2368.46,737978,1747872336.05,39614,492755,66.77,2017,7,2495.93,0.00476,Slight or No change,0.023933627022441235,2453.819047619047,2485.2132352941176,HODL,2395.3071428571425,43.23176742033162,2481.7706776978057,2308.8436080164793
35,2017-07-04,TCS,EQ,2373.6,2373.3,2380.45,2350.05,2360.8,2366.85,2366.9,607567,1438053124.65,24611,339629,55.9,2017,7,2494.12,-0.0028399999999999996,Slight or No change,0.02374434312873982,2444.3880952380946,2483.3808823529416,HODL,2389.2571428571423,40.60213075662346,2470.461404370389,2308.0528813438955
36,2017-07-05,TCS,EQ,2366.85,2360.8,2365.0,2345.0,2358.0,2356.0,2354.42,407928,960433302.45,22153,216685,53.12,2017,7,2492.84,-0.00458,Slight or No change,0.019646921698461002,2432.580952380952,2480.458823529412,HODL,2381.0999999999995,34.02903172292618,2449.158063445852,2313.041936554147
37,2017-07-06,TCS,EQ,2356.0,2359.0,2361.9,2340.1,2350.05,2347.55,2348.75,513394,1205834807.35,26826,342973,66.81,2017,7,2491.15,-0.00359,Slight or No change,0.018076643160074908,2415.988095238095,2474.9102941176475,HODL,2376.5535714285716,33.950062106465744,2444.453695641503,2308.65344721564
38,2017-07-07,TCS,EQ,2347.55,2350.0,2356.45,2325.5,2332.0,2331.95,2343.49,616045,1443697742.7,52731,417958,67.85,2017,7,2488.97,-0.00665,Slight or No change,0.01893328886297024,2402.4976190476186,2469.757352941177,HODL,2371.714285714286,35.202433419882006,2442.11915255405,2301.3094188745217
39,2017-07-10,TCS,EQ,2331.95,2341.0,2444.9,2341.0,2435.0,2434.95,2426.54,398392,966714360.85,12486,188289,47.26,2017,7,2488.49,0.04417,Slight or No change,0.04759779504344052,2398.371428571428,2466.9220588235294,HODL,2371.9464285714284,35.63647906443336,2443.219386700295,2300.6734704425617
40,2017-07-11,TCS,EQ,2434.95,2426.0,2514.8,2426.0,2482.5,2475.8,2478.13,1768752,4383194952.65,96054,937311,52.99,2017,7,2488.01,0.01678,Slight or No change,0.048441544958321994,2396.8857142857137,2465.57205882353,HODL,2374.1464285714287,41.03510909661798,2456.216646764665,2292.0762103781926
41,2017-07-12,TCS,EQ,2475.8,2482.5,2483.3,2430.1,2441.0,2439.45,2453.34,1323225,3246316255.3,62259,926229,70.0,2017,7,2486.68,-0.01468,Slight or No change,0.053103898118037236,2394.6119047619045,2462.0514705882356,HODL,2376.5142857142855,43.89029342739429,2464.294872569074,2288.733698859497
42,2017-07-13,TCS,EQ,2439.45,2445.0,2472.0,2426.6,2439.0,2446.4,2449.5,1565980,3835873018.25,64700,819249,52.32,2017,7,2485.42,0.00285,Slight or No change,0.05253931046036023,2394.3666666666663,2456.810294117647,HODL,2380.1964285714284,47.55616300869752,2475.3087545888234,2285.0841025540335
43,2017-07-14,TCS,EQ,2446.4,2383.0,2425.0,2375.0,2399.1,2397.45,2396.18,2254216,5401499336.35,95561,853385,37.86,2017,7,2481.62,-0.02001,Slight or No change,0.057789563847573555,2390.9023809523806,2451.4926470588234,HODL,2382.75,47.44626920568556,2477.6425384113713,2287.8574615886287
44,2017-07-17,TCS,EQ,2397.45,2397.7,2422.1,2382.2,2397.1,2395.45,2402.63,1105911,2657095372.05,49251,668063,60.41,2017,7,2479.83,-0.0008300000000000001,Slight or No change,0.057505317730402954,2390.1523809523806,2446.2749999999996,HODL,2386.5071428571428,46.10738659803903,2478.721916053221,2294.2923696610646
45,2017-07-18,TCS,EQ,2395.45,2396.15,2443.0,2396.15,2415.1,2408.35,2418.05,954001,2306823902.8,67981,587896,61.62,2017,7,2478.58,0.00539,Slight or No change,0.05637676191569265,2390.5642857142852,2442.076470588235,HODL,2390.6714285714284,45.184913727607864,2481.041256026644,2300.3016011162126
46,2017-07-19,TCS,EQ,2408.35,2415.5,2460.0,2415.1,2449.25,2449.6,2442.01,1957788,4780943652.55,87419,1244355,63.56,2017,7,2477.57,0.017130000000000003,Slight or No change,0.0377627414158259,2391.4166666666665,2439.2235294117645,HODL,2398.982142857142,44.506004811549424,2487.994152480241,2309.9701332340433
47,2017-07-20,TCS,EQ,2449.6,2449.25,2456.9,2430.5,2437.0,2444.7,2441.25,591252,1443393893.9,23307,305250,51.63,2017,7,2477.23,-0.002,Slight or No change,0.03293877797054544,2391.4023809523806,2436.0205882352934,HODL,2404.864285714285,44.73340873600863,2494.3311031863022,2315.3974682422677
